id,budget,revenue,release_year,original_title,vote_count,keywords
292431,3000000,695269,2015,Love,307,not_novel
300693,9600000,2541554,2015,Truth,89,not_novel
333381,0,0,2015,Return to Sender,88,not_novel
256924,10000000,10835752,2015,Danny Collins,114,not_novel
253414,15000000,3020664,2015,Rock the Kasbah,56,not_novel
254172,2240000,0,2015,Fathers and Daughters,142,not_novel
320588,1000000,14444999,2015,"Hello, My Name Is Doris",87,not_novel
157544,13000000,1784763,2015,The Vatican Tapes,164,not_novel
283235,8000000,1411927,2015,99 Homes,121,not_novel
243938,14000000,12314651,2015,Hot Tub Time Machine 2,244,not_novel
86835,0,0,2015,Knight of Cups,101,not_novel
309242,0,0,2015,Mississippi Grind,74,not_novel
332502,0,0,2015,400 Days,98,not_novel
286192,0,0,2015,Lava,298,not_novel
338676,0,0,2015,Extinction,135,not_novel
232572,8000000,35991087,2015,A Walk in the Woods,171,not_novel
112454,0,0,2015,Clown,182,not_novel
243940,3300000,64110728,2015,The Lazarus Effect,327,not_novel
321528,0,0,2015,Batman vs. Robin,142,not_novel
317744,8000000,0,2015,Careful What You Wish For,57,not_novel
300792,0,0,2015,Racing Extinction,36,not_novel
239573,35000000,14431253,2015,Unfinished Business,241,not_novel
167810,2000000,45431,2015,Lost River,129,not_novel
334527,7000000,0,2015,Criminal Activities,67,not_novel
300153,12000000,0,2015,Life,75,not_novel
228203,0,45710059,2015,"McFarland, USA",139,not_novel
278236,0,0,2015,X+Y,133,not_novel
276839,3000000,0,2015,Home Sweet Hell,136,not_novel
326215,6000000,0,2015,Ooops! Noah is Gone...,50,not_novel
318256,0,0,2015,Hot Girls Wanted,158,not_novel
299245,100000,42664410,2015,The Gallows,247,not_novel
333344,0,0,2015,Dirty Weekend,12,not_novel
357096,0,0,2015,I Spit on Your Grave III: Vengeance is Mine,100,not_novel
309299,0,0,2015,Experimenter,94,not_novel
314385,10000000,3334927,2015,By the Sea,82,not_novel
333596,0,0,2015,Woodlawn,32,not_novel
361042,0,0,2015,The Hollow,19,not_novel
353686,0,0,2015,Visions,67,not_novel
318954,0,1236094,2015,Beyond the Mask,13,not_novel
289191,0,0,2015,I Am Here,18,not_novel
252164,0,0,2015,Pressure,29,not_novel
360784,0,0,2015,Hidden,96,not_novel
336313,0,157768,2015,Hell & Back,47,not_novel
240483,21000000,0,2015,Robot Overlords,63,not_novel
321494,0,0,2015,The Man with the Iron Fists 2,43,not_novel
264337,0,0,2015,Spare Parts,38,not_novel
289716,0,0,2015,The World Made Straight,13,not_novel
296065,0,0,2015,Last Shift,77,not_novel
337029,0,0,2015,Frankenstein,14,not_novel
317952,0,0,2015,Cartel Land,112,not_novel
325358,20000000,0,2015,Superfast!,60,not_novel
340275,0,0,2015,Chi-Raq,33,not_novel
309887,5300000,0,2015,Bad Asses on the Bayou,24,not_novel
302429,0,13603453,2015,Strange Magic,68,not_novel
253331,9000000,21571189,2015,Black or White,72,not_novel
293771,0,0,2015,Dead Rising,82,not_novel
323373,0,0,2015,Deathgasm,83,not_novel
323027,0,0,2015,Justice League: Gods and Monsters,99,not_novel
297806,13000000,1646788,2015,I Saw the Light,19,not_novel
253626,0,316472,2015,Good Kill,132,not_novel
354251,0,0,2015,Southbound,73,not_novel
355338,0,0,2015,Riley's First Date?,137,not_novel
271736,0,3286448,2015,The Program,107,not_novel
293970,0,0,2015,The Final Girls,211,not_novel
364067,0,0,2015,A Very Murray Christmas,101,not_novel
318922,0,0,2015,Kill Your Friends,54,not_novel
266639,5000000,2333684,2015,Jem and the Holograms,69,not_novel
274504,0,0,2015,The Adderall Diaries,23,based on novel
244316,10000000,0,2015,Grizzly,35,not_novel
352208,0,0,2015,Where to Invade Next,67,not_novel
283587,6000000,90777,2015,Beasts of No Nation,306,not_novel
311539,0,0,2015,A Christmas Horror Story,56,not_novel
363483,0,0,2015,12 Gifts of Christmas,12,not_novel
354220,0,0,2015,The Girl in the Photographs,10,not_novel
283596,0,0,2015,The Legend of Barney Thomson,21,based on novel
250225,1000000,0,2015,The Duke of Burgundy,58,not_novel
307479,0,0,2015,88,20,not_novel
339145,0,0,2015,The Girl in the Book,23,not_novel
308638,447524,771317,2015,The D Train,47,not_novel
327528,0,830129,2015,Born to Be Blue,16,not_novel
306964,0,0,2015,Tales of Halloween,74,not_novel
362185,0,0,2015,Operator,16,not_novel
94365,0,0,2015,The Human Centipede 3 (Final Sequence),75,not_novel
291272,0,0,2015,We Are Still Here,91,not_novel
324963,0,0,2015,Monster High: Haunted,11,not_novel
342927,0,0,2015,3-Headed Shark Attack,15,not_novel
361159,0,0,2015,Navy Seals vs. Zombies,24,not_novel
351964,0,0,2015,The Escort,41,not_novel
362057,0,0,2015,Martyrs,43,not_novel
137333,0,0,2015,Uncanny,21,not_novel
57876,5000000,0,2015,Area 51,82,not_novel
339533,0,0,2015,San Andreas Quake,60,not_novel
308457,0,0,2015,Advantageous,29,not_novel
306482,0,0,2015,Partisan,16,not_novel
245846,10000000,17472,2015,Strangerland,48,not_novel
330112,0,0,2015,Ashby,104,not_novel
322766,0,0,2015,Beautiful & Twisted,21,not_novel
361931,0,0,2015,Ronaldo,80,not_novel
318224,0,0,2015,Going Clear: Scientology and the Prison of Belief,186,not_novel
309503,0,0,2015,Zipper,30,not_novel
348811,0,0,2015,War Pigs,26,not_novel
310135,0,0,2015,Turbo Kid,136,not_novel
355111,0,0,2015,Barbie in Rock 'N Royals,17,not_novel
335866,0,0,2015,Circle,167,not_novel
